lambda,acc,mrr,wp
0,0.44231,0.56613,0.74738
0,0.44231,0.57562,0.75931
0,0.42308,0.56706,0.76302
0,0.42308,0.55303,0.77857
0,0.40385,0.53016,0.74492
0,0.40385,0.52838,0.75549
0,0.48077,0.58742,0.76355
0,0.32692,0.50054,0.73201
0,0.40385,0.55345,0.76613
0,0.36538,0.54571,0.75206
0,0.48077,0.59413,0.78411
0,0.50000,0.60498,0.79686
0,0.40385,0.56043,0.75461
0,0.48077,0.61737,0.78191
0,0.38462,0.54667,0.75565
0,0.42308,0.57575,0.78507
0,0.48077,0.59664,0.77407
0,0.48077,0.59807,0.76949
0,0.50000,0.58708,0.77344
0,0.42308,0.56342,0.78269
1,,,
1,,,
1,,,
1,,,
1,,,
0.01,0.44231,0.56613,0.74738
0.01,0.44231,0.57562,0.75931
0.01,0.42308,0.56706,0.76302
0.01,0.42308,0.55303,0.77857
0.01,0.40385,0.53016,0.74492
0.05,0.40385,0.52838,0.75549
0.05,0.48077,0.58742,0.76355
0.05,0.32692,0.50054,0.73201
0.05,0.40385,0.55345,0.76613
0.05,0.36538,0.54571,0.75206
0.1,0.48077,0.59413,0.78411
0.1,0.50000,0.60498,0.79686
0.1,0.40385,0.56043,0.75461
0.1,0.48077,0.61737,0.78191
0.1,0.38462,0.54667,0.75565
0.5,0.42308,0.57575,0.78507
0.5,0.48077,0.59664,0.77407
0.5,0.48077,0.59807,0.76949
0.5,0.50000,0.58708,0.77344
0.5,0.42308,0.56342,0.78269
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
