n_partitions,acc,mrr,wp
100,0.26923,0.44028,0.68217
100,0.30769,0.48021,0.71361
100,0.40385,0.55383,0.74650
100,0.32692,0.50876,0.73098
100,0.40385,0.55737,0.73831
150,0.44231,0.55528,0.76598
150,0.34615,0.49232,0.70786
150,0.44231,0.54829,0.74426
150,0.38462,0.52297,0.77526
150,0.32692,0.52681,0.73071
200,0.40385,0.54540,0.76781
200,0.36538,0.53043,0.73625
200,0.42308,0.57627,0.76694
200,0.40385,0.54441,0.75986
200,0.40385,0.53065,0.75714
250,0.32692,0.48706,0.70684
250,0.46154,0.55505,0.73549
250,0.38462,0.48797,0.70546
250,0.38462,0.52272,0.69976
250,0.40385,0.56911,0.75984
300,0.44231,0.58035,0.75697
300,0.42308,0.56922,0.76226
300,0.44231,0.58150,0.77134
300,0.28846,0.45077,0.70513
300,0.44231,0.57688,0.76198
350,0.38462,0.56500,0.77260
350,0.48077,0.61413,0.79025
350,0.42308,0.58581,0.77176
350,0.38462,0.56392,0.76677
350,0.44231,0.58743,0.77737
400,0.51923,0.61855,0.79873
400,0.38462,0.51580,0.70606
400,0.38462,0.55132,0.74962
400,0.38462,0.54164,0.75812
400,0.44231,0.57389,0.75623
450,0.38462,0.55320,0.76375
450,0.44231,0.56735,0.75769
450,0.38462,0.56757,0.76957
450,0.44231,0.58199,0.76091
450,0.38462,0.52448,0.75928
500,0.42308,0.57352,0.75664
500,0.38462,0.52811,0.73312
500,0.34615,0.52557,0.73996
500,0.53846,0.65436,0.80372
500,0.38462,0.53808,0.75079
550,0.40385,0.55369,0.72937
550,0.36538,0.54183,0.73913
550,0.44231,0.56165,0.74896
550,0.38462,0.53940,0.72969
550,0.40385,0.56201,0.77705
1000,0.38462,0.53928,0.73501
1000,0.32692,0.49615,0.70041
1000,0.46154,0.58471,0.77827
1000,0.42308,0.59344,0.77476
1000,0.42308,0.57677,0.74043
1200,0.42308,0.57278,0.77337
1200,0.42308,0.54624,0.75388
1200,0.30769,0.47706,0.70933
1200,0.46154,0.60071,0.79009
1200,0.46154,0.60104,0.76883
1500,0.51923,0.61797,0.80937
1500,0.42308,0.56032,0.77224
1500,0.51923,0.62497,0.78283
1500,0.44231,0.58181,0.80183
1500,0.50000,0.60600,0.80821
1800,0.50000,0.59069,0.75069
1800,0.42308,0.54004,0.73455
1800,0.36538,0.53801,0.72154
1800,0.48077,0.58796,0.78510
1800,0.46154,0.58922,0.76177
2000,0.50000,0.61680,0.77212
2000,0.40385,0.55723,0.74948
2000,0.40385,0.58991,0.74200
2000,0.48077,0.60565,0.76532
2000,0.51923,0.61452,0.79026
800,0.48077,0.61159,0.79791
800,0.44231,0.54512,0.72134
800,0.44231,0.59090,0.75391
800,0.48077,0.58790,0.76749
800,0.40385,0.54796,0.72076
2250,0.44231,0.57161,0.73159
2250,0.50000,0.60746,0.76612
2250,0.44231,0.57822,0.77273
2250,0.38462,0.52034,0.70197
2250,0.46154,0.59976,0.77544
2500,0.44231,0.58311,0.75169
2500,0.50000,0.62150,0.78802
2500,0.44231,0.56474,0.77288
2500,0.44231,0.58543,0.77179
2500,0.46154,0.56534,0.76905
