n_partitions,acc,mrr,wp
100,0.27059,0.42043,0.70129
100,0.37647,0.51065,0.73401
100,0.32941,0.47566,0.72258
100,0.31765,0.46472,0.71550
100,0.23529,0.42011,0.69633
150,0.34118,0.49259,0.71465
150,0.34118,0.48378,0.71403
150,0.34118,0.49789,0.72704
150,0.28235,0.45618,0.66982
150,0.35294,0.48887,0.72997
200,0.40000,0.52661,0.73738
200,0.29412,0.46653,0.71857
200,0.36471,0.52588,0.72360
200,0.31765,0.48833,0.70125
200,0.31765,0.50230,0.69746
250,0.37647,0.51395,0.72966
250,0.41176,0.54490,0.76724
250,0.35294,0.52564,0.70055
250,0.36471,0.54299,0.75441
250,0.31765,0.50550,0.72348
300,0.32941,0.49274,0.70931
300,0.32941,0.49190,0.68699
300,0.37647,0.50719,0.72212
300,0.36471,0.47912,0.72936
300,0.36471,0.51550,0.71070
350,0.32941,0.50099,0.75403
350,0.30588,0.48089,0.70836
350,0.30588,0.48239,0.73140
350,0.36471,0.51162,0.72290
350,0.31765,0.48888,0.71595
400,0.30588,0.47718,0.71821
400,0.38824,0.53156,0.73295
400,0.35294,0.51952,0.75849
400,0.38824,0.54042,0.74684
400,0.34118,0.49934,0.72419
450,0.41176,0.55235,0.73218
450,0.42353,0.56539,0.75299
450,0.31765,0.49057,0.71331
450,0.37647,0.53373,0.75381
450,0.35294,0.51240,0.72008
500,0.36471,0.50769,0.72776
500,0.32941,0.50730,0.72605
500,0.35294,0.50217,0.70944
500,0.35294,0.49872,0.76516
500,0.45882,0.57548,0.75894
550,0.35294,0.51688,0.72931
550,0.37647,0.53662,0.75043
550,0.37647,0.54638,0.74276
550,0.36471,0.51306,0.71622
550,0.41176,0.55355,0.75106
1000,0.48235,0.59784,0.79375
1000,0.31765,0.49223,0.72743
1000,0.32941,0.49388,0.70070
1000,0.34118,0.49904,0.71539
1000,0.41176,0.56018,0.74653
1200,0.35294,0.53060,0.73485
1200,0.44706,0.58442,0.74196
1200,0.36471,0.52035,0.73788
1200,0.36471,0.52546,0.71759
1200,0.40000,0.55627,0.74834
1500,0.41176,0.54741,0.74874
1500,0.36471,0.51805,0.73111
1500,0.41176,0.54759,0.73675
1500,0.36471,0.50931,0.73324
1500,0.36471,0.51442,0.72320
1800,0.42353,0.56558,0.74289
1800,0.44706,0.58936,0.74048
1800,0.43529,0.56523,0.77149
1800,0.45882,0.58003,0.77807
1800,0.42353,0.55993,0.76477
2000,0.44706,0.58999,0.78725
2000,0.44706,0.58729,0.78252
2000,0.36471,0.53192,0.72484
2000,0.40000,0.55518,0.72736
2000,0.40000,0.53682,0.76495
800,0.38824,0.53596,0.73166
800,0.41176,0.54697,0.75540
800,0.42353,0.56007,0.75203
800,0.36471,0.53026,0.72875
800,0.42353,0.55709,0.75372
2250,0.38824,0.54637,0.75413
2250,0.37647,0.52842,0.73614
2250,0.36471,0.52022,0.76648
2250,0.32941,0.47759,0.72595
2250,0.38824,0.54662,0.74287
2500,0.42353,0.55772,0.76596
2500,0.36471,0.52499,0.74283
2500,0.41176,0.56603,0.75153
2500,0.38824,0.53055,0.74196
2500,0.41176,0.57537,0.75953
